Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.5		FALSE	FALSE	FALSE		[SV]			
Ff	bitmask	1.7		FALSE	FALSE	FALSE	0				
Filter	name	1.5		FALSE	FALSE	FALSE					
SubFilter	array	1.5		FALSE	FALSE	FALSE				[ArrayOfNamesGeneral]	
DigestMethod	array	1.7		FALSE	FALSE	FALSE				[ArrayOfDigestMethod]	
V	integer	1.5		FALSE	FALSE	FALSE		[0,1,2,3]			
Cert	dictionary	1.5		FALSE	FALSE	FALSE				[CertSeedValue]	
Reasons	array	1.5		FALSE	FALSE	FALSE				[ArrayOfStringsText]	
MDP	dictionary	1.6		FALSE	FALSE	FALSE				[MDPDict]	
TimeStamp	dictionary	1.6		FALSE	FALSE	FALSE				[TimeStampDict]	
LegalAttestation	array	1.6		FALSE	FALSE	FALSE				[ArrayOfStringsText]	
AddRevInfo	boolean	1.7		FALSE	FALSE	FALSE					
