Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.2	2.0	FALSE	FALSE	FALSE		[Sound]			
R	number	1.2	2.0	TRUE	FALSE	FALSE					
C	integer	1.2	2.0	FALSE	FALSE	FALSE	1				
B	integer	1.2	2.0	FALSE	FALSE	FALSE	8				
E	name	1.2	2.0	FALSE	FALSE	FALSE	Raw	[Raw,Signed,muLaw,ALaw]			
CO	name	1.2	2.0	FALSE	FALSE	FALSE					
CP	array;dictionary;stream	1.2	2.0	FALSE	FALSE	FALSE				[_UniversalArray];[_UniversalDictionary];[Stream]	*various
Length	integer	1.2		TRUE	FALSE	FALSE					
Filter	array;name	1.2		FALSE	FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,fn:SinceVersion(1.2,FlateDecode),RunLengthDecode,fn:SinceVersion(1.5,Crypt)]		[ArrayOfCompressionFilterNames];[]	
DecodeParms	array;dictionary	1.2		FALSE	FALSE	FALSE				[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCrypt]	
F	dictionary;string	1.2		FALSE	FALSE	FALSE				[FileSpecification];[]	
FFilter	array;name	1.2		FALSE	FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,fn:SinceVersion(1.2,FlateDecode),RunLengthDecode,fn:SinceVersion(1.5,Crypt)]		[ArrayOfCompressionFilterNames];[]	
FDecodeParms	array;dictionary	1.2		FALSE	FALSE	FALSE				[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCrypt]	
DL	integer	1.5		FALSE	FALSE	FALSE					
