Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.6		FALSE	FALSE	FALSE		[3DView]			
XN	string	1.6		TRUE	FALSE	FALSE					
IN	string	1.6		FALSE	FALSE	FALSE		[M,U3D]			
MS	name	1.6		FALSE	FALSE	FALSE					
MA	array	2.0		FALSE	FALSE	FALSE				[ArrayOf3DMeasure]	
C2W	array	1.6		FALSE	FALSE	FALSE			Required=TRUE=>MS=M	[ArrayOf3DTransMatrix]	
U3DPath	array;string	1.6		FALSE	FALSE	FALSE			Required=TRUE=>MS=U3D	[ArrayOfStringsText];[]	
CO	number	1.6		FALSE	FALSE	FALSE					
P	dictionary	1.6		FALSE	FALSE	FALSE				[Projection]	
O	stream	1.6		FALSE	FALSE	FALSE				[XObjectFormType1]	
BG	dictionary	1.6		FALSE	FALSE	FALSE				[3DBackground]	
RM	dictionary	1.7		FALSE	FALSE	FALSE				[3DRenderMode]	
LS	dictionary	1.7		FALSE	FALSE	FALSE				[3DLightingScheme]	
SA	array	1.7		FALSE	FALSE	FALSE				[ArrayOf3DCrossSection]	
NA	array	1.7		FALSE	FALSE	FALSE				[ArrayOf3DNode]	
NR	boolean	1.7		FALSE	FALSE	FALSE	FALSE				
Snapshot	stream	2.0		FALSE	FALSE	FALSE				[Stream]	
Params	array	2.0		FALSE	FALSE	FALSE				[ArrayOfViewParams]	
