Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.0		TRUE	FALSE	FALSE		[FontDescriptor]			
FontName	name	1.0		TRUE	FALSE	FALSE			[fn:Eval(@FontName==parent::@BaseFont)]		
FontFamily	string-byte	1.5		FALSE	FALSE	FALSE					
FontStretch	name	1.5		FALSE	FALSE	FALSE		[UltraCondensed,ExtraCondensed,Condensed,SemiCondensed,Normal,SemiExpanded,Expanded,ExtraExpanded,UltraExpanded]			
FontWeight	integer	1.5		FALSE	FALSE	FALSE		[100,200,300,400,500,600,700,800,900]			
Flags	bitmask	1.0		TRUE	FALSE	FALSE					
FontBBox	rectangle	1.0		TRUE	FALSE	FALSE					
ItalicAngle	number	1.0		TRUE	FALSE	FALSE					
Ascent	number	1.0		TRUE	FALSE	FALSE					
Descent	number	1.0		TRUE	FALSE	FALSE		[fn:Eval(@Descent<0)]			
Leading	number	1.0		FALSE	FALSE	FALSE	0				
CapHeight	number	1.0		FALSE	FALSE	FALSE					
XHeight	number	1.0		FALSE	FALSE	FALSE	0				
StemV	number	1.0		TRUE	FALSE	FALSE					
StemH	number	1.0		FALSE	FALSE	FALSE	0				
AvgWidth	number	1.0		FALSE	FALSE	FALSE	0				
MaxWidth	number	1.0		FALSE	FALSE	FALSE	0				
MissingWidth	number	1.0		FALSE	FALSE	FALSE	0				
FontFile	stream	1.0		FALSE	TRUE	FALSE				[FontFileType1]	
FontFile3	stream	1.2		FALSE	TRUE	FALSE				[FontFile3Type1]	
CharSet	string-ascii;string-byte	1.1	2.0	FALSE	FALSE	FALSE					
