Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
FT	name	1.2		TRUE	FALSE	TRUE		[Ch]			
Parent	dictionary	1.2		FALSE	FALSE	FALSE				[fn:SinceVersion(1.2,FieldTx),fn:SinceVersion(1.2,FieldBtn),fn:SinceVersion(1.2,FieldCh),fn:SinceVersion(1.3,FieldSig),fn:SinceVersion(1.2,Field)]	
Kids	array	1.2		FALSE	FALSE	FALSE				[fn:SinceVersion(1.2,ArrayOfFields)]	
T	string-text	1.2		TRUE	FALSE	FALSE					
TU	string-text	1.3		FALSE	FALSE	FALSE					
TM	string-text	1.3		FALSE	FALSE	FALSE					
Ff	bitmask	1.2		FALSE	FALSE	TRUE					
V	string-text	1.2		FALSE	FALSE	TRUE					
DV	string-text	1.2		FALSE	FALSE	TRUE					
AA	dictionary	1.2		FALSE	FALSE	FALSE				[fn:SinceVersion(1.3,AddActionFormField)]	
DA	string	1.2		TRUE	FALSE	TRUE					
Q	integer	1.2		FALSE	FALSE	FALSE	0	[0,1,2]			
DS	string-text	1.5		FALSE	FALSE	FALSE					
RV	stream;string-text	1.5		FALSE	[TRUE];[FALSE]	FALSE				[Stream];[]	
Opt	array	1.4		FALSE	FALSE	TRUE				[fn:SinceVersion(1.4,ArrayOfStringsText),fn:SinceVersion(1.4,ArrayOfArrays_2StringsText)]	
TI	integer	1.2		FALSE	FALSE	TRUE					
I	array	1.4		FALSE	FALSE	TRUE				[ArrayOfIntegersGeneral]	"This entry shall be used when two or more elements in the Opt array have different names but the same export value or when the value of the choice field is an array. If the items identified by this entry differ from those in the V entry of the field dictionary (see discussion following this Table), the V entry shall be used"
