Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	fn:Eval(fn:Extension(ETSI_PAdES,1.7) || 2.0)		TRUE	fn:MustBeDirect(fn:IsPresent(ByteRange))	FALSE		[DocTimeStamp]			Table 255 and ETSI EN 319 142-1 (PAdES) https://github.com/pdf-association/arlington-pdf-model/issues/121
Filter	name	fn:Eval(fn:Extension(ETSI_PAdES,1.7) || 2.0)		TRUE	fn:MustBeDirect(fn:IsPresent(ByteRange))	FALSE					https://github.com/pdf-association/pdf-issues/issues/121
SubFilter	name	fn:Eval(fn:Extension(ETSI_PAdES,1.7) || 2.0)		FALSE	fn:MustBeDirect(fn:IsPresent(ByteRange))	FALSE		[ETSI.RFC3161,*]			
Contents	string-byte	fn:Eval(fn:Extension(ETSI_PAdES,1.7) || 2.0)		TRUE	fn:MustBeDirect(fn:IsPresent(ByteRange))	FALSE			[fn:Eval((fn:IsPresent(ByteRange) && fn:IsHexString()) && fn:AlwaysUnencrypted())]		
Cert	array;string-byte	fn:Eval(fn:Extension(ETSI_PAdES,1.7) || 2.0)		FALSE	fn:MustBeDirect(fn:IsPresent(ByteRange))	FALSE			[fn:Eval(fn:Extension(ETSI_PAdES,fn:Not(fn:IsPresent(Cert))) || fn:Ignore((@SubFilter==ETSI.CAdES.detached) || (@SubFilter==ETSI.RFC3161)))];[fn:Eval(fn:Ignore((@SubFilter==ETSI.CAdES.detached) || (@SubFilter==ETSI.RFC3161)))]	[ArrayOfStringsByte];[]	
ByteRange	array	fn:Eval(fn:Extension(ETSI_PAdES,1.7) || 2.0)		FALSE	fn:MustBeDirect(fn:IsPresent(ByteRange))	FALSE			[fn:Eval((fn:ArrayLength(ByteRange) mod 2)==0)]	[ArrayOfNonNegativeIntegersGeneral]	
Reference	array	fn:Eval(fn:Extension(ETSI_PAdES,1.7) || 2.0)		FALSE	fn:MustBeDirect(fn:IsPresent(ByteRange))	FALSE			[fn:Eval(fn:Extension(ETSI_PAdES,fn:Not(fn:IsPresent(Reference))) || fn:Ignore(@SubFilter==ETSI.RFC3161))]	[ArrayOfSignatureReferences]	
Changes	array	fn:Eval(fn:Extension(ETSI_PAdES,1.7) || 2.0)		FALSE	fn:MustBeDirect(fn:IsPresent(ByteRange))	FALSE			[fn:Eval(fn:Extension(ETSI_PAdES,fn:Not(fn:IsPresent(Changes))) || fn:Ignore(@SubFilter==ETSI.RFC3161))]	[ArrayOf_3NonNegativeIntegers]	
Name	string-text	fn:Eval(fn:Extension(ETSI_PAdES,1.7) || 2.0)		FALSE	fn:MustBeDirect(fn:IsPresent(ByteRange))	FALSE			[fn:Ignore(@SubFilter==ETSI.RFC3161)]		
M	date	fn:Eval(fn:Extension(ETSI_PAdES,1.7) || 2.0)		FALSE	fn:MustBeDirect(fn:IsPresent(ByteRange))	FALSE			[fn:Ignore(@SubFilter==ETSI.RFC3161)]		
Location	string-text	fn:Eval(fn:Extension(ETSI_PAdES,1.7) || 2.0)		FALSE	fn:MustBeDirect(fn:IsPresent(ByteRange))	FALSE			[fn:Ignore(@SubFilter==ETSI.RFC3161)]		
Reason	string-text	fn:Eval(fn:Extension(ETSI_PAdES,1.7) || 2.0)		FALSE	fn:MustBeDirect(fn:IsPresent(ByteRange))	FALSE			[fn:Ignore(@SubFilter==ETSI.RFC3161)]		
ContactInfo	string-text	fn:Eval(fn:Extension(ETSI_PAdES,1.7) || 2.0)		FALSE	fn:MustBeDirect(fn:IsPresent(ByteRange))	FALSE			[fn:Ignore(@SubFilter==ETSI.RFC3161)]		
R	integer	fn:Eval(fn:Extension(ETSI_PAdES,1.7) || 2.0)	2.0	FALSE	fn:MustBeDirect(fn:IsPresent(ByteRange))	FALSE			[fn:Eval(fn:Extension(ETSI_PAdES,fn:Not(fn:IsPresent(R))) || fn:Ignore())]		also see "Adobe PDF Signature Build Dictionary Specification": "shall not be used" since PDF 1.5 
V	integer	fn:Eval(fn:Extension(ETSI_PAdES,1.7) || 2.0)		FALSE	fn:MustBeDirect(fn:IsPresent(ByteRange))	FALSE	0		[fn:Eval((@SubFilter==ETSI.RFC3161) && (@V==0))]		
Prop_Build	dictionary	fn:Eval(fn:Extension(ETSI_PAdES,1.7) || 2.0)		FALSE	fn:MustBeDirect(fn:IsPresent(ByteRange))	FALSE				[SignatureBuildPropDict]	see "Adobe PDF Signature Build Dictionary Specification"
Prop_AuthTime	integer	fn:Eval(fn:Extension(ETSI_PAdES,1.7) || 2.0)		FALSE	fn:MustBeDirect(fn:IsPresent(ByteRange))	FALSE		[fn:Eval(@Prop_AuthTime>=0)]	[fn:Eval(fn:Extension(ETSI_PAdES,fn:Not(fn:IsPresent(Prop_AuthTime))) || fn:Ignore(@SubFilter==ETSI.RFC3161))]		see "Adobe PDF Signature Build Dictionary Specification"
Prop_AuthType	name	fn:Eval(fn:Extension(ETSI_PAdES,1.7) || 2.0)		FALSE	fn:MustBeDirect(fn:IsPresent(ByteRange))	FALSE		[PIN,Password,Fingerprint]	[fn:Eval(fn:Extension(ETSI_PAdES,fn:Not(fn:IsPresent(Prop_AuthType))) || fn:Ignore(@SubFilter==ETSI.RFC3161))]		see "Adobe PDF Signature Build Dictionary Specification"
