Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	2.0		FALSE	FALSE	FALSE		[3DMeasure]			
Subtype	name	2.0		TRUE	FALSE	FALSE		[3DC]			
TRL	string-text	2.0		FALSE	FALSE	FALSE					
A1	array	2.0		TRUE	FALSE	FALSE				[fn:SinceVersion(2.0,ArrayOf_3Numbers)]	
N1	string-text	2.0		FALSE	FALSE	FALSE					
TP	array	2.0		TRUE	FALSE	FALSE				[fn:SinceVersion(2.0,ArrayOf_3Numbers)]	
TB	array	2.0		FALSE	FALSE	FALSE				[fn:SinceVersion(1.2,ArrayOf_2Integers)]	
TS	number	2.0		FALSE	FALSE	FALSE	12				
C	array	2.0		FALSE	FALSE	FALSE	[1 1 1]			[fn:SinceVersion(1.4,ArrayOf_3RGBNumbers)]	
UT	string-text	2.0		FALSE	FALSE	FALSE					
S	dictionary	2.0		FALSE	FALSE	FALSE				[fn:SinceVersion(2.0,AnnotProjection)]	
