Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
JavaScriptActions	integer	1.5		FALSE	FALSE					
LaunchActions	integer	1.5		FALSE	FALSE					
URIActions	integer	1.5		FALSE	FALSE					
MovieActions	integer	1.5		FALSE	FALSE					
SoundActions	integer	1.5		FALSE	FALSE					
HideAnnotationActions	integer	1.5		FALSE	FALSE					
GoToRemoteActions	integer	1.5		FALSE	FALSE					
AlternateImages	integer	1.5		FALSE	FALSE					
ExternalStreams	integer	1.5		FALSE	FALSE					
TrueTypeFonts	integer	1.5		FALSE	FALSE					
ExternalRefXobjects	integer	1.5		FALSE	FALSE					
ExternalOPIdicts	integer	1.5		FALSE	FALSE					
NonEmbeddedFonts	integer	1.5		FALSE	FALSE					
DevDepGS_HT	integer	1.5		FALSE	FALSE					
DevDepGS_TR	integer	1.5		FALSE	FALSE					
DevDepGS_UCR	integer	1.5		FALSE	FALSE					
DevDepGS_BG	integer	1.5		FALSE	FALSE					
DevDepGS_FL	integer	1.5		FALSE	FALSE					
Annotations	integer	1.5		FALSE	FALSE					
OptionalContent	boolean	1.5		FALSE	FALSE					
Attestation	string	1.5		FALSE	FALSE					
