Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.0		TRUE	FALSE	Font				
Subtype	name	1.0		TRUE	FALSE	Type3				
Name	name	1.0		FALSE	FALSE					
FontBBox	rectangle	1.0		TRUE	FALSE					
FontMatrix	array	1.0		TRUE	FALSE					[]
CharProcs	dictionary	1.0		TRUE	FALSE					[]
Encoding	dictionary	1.0		TRUE	FALSE					[Encoding]
FirstChar	integer	1.0		TRUE	FALSE					
LastChar	integer	1.0		TRUE	FALSE					
Widths	array	1.0		TRUE	TRUE					[]
FontDescriptor	dictionary	1.0		???	TRUE					[FontDescriptor]
Resources	dictionary	1.2		FALSE	FALSE					[Resources]
ToUnicode	stream	1.2		FALSE	FALSE					[]
