Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.0		TRUE	FALSE	FALSE		[Catalog]			
Pages	dictionary	1.0		TRUE	TRUE	FALSE				[PageTreeNodeRoot]	
PageLabels	number-tree	1.3		FALSE	FALSE	FALSE				[PageLabel]	
Names	dictionary	1.2		FALSE	FALSE	FALSE				[Name]	
Dests	dictionary	1.1		FALSE	FALSE	FALSE				[DestsMap]	
ViewerPreferences	dictionary	1.2		FALSE	FALSE	FALSE				[ViewerPreferences]	
PageLayout	name	1.0		FALSE	FALSE	FALSE	SinglePage	[SinglePage,OneColumn,TwoColumnLeft,TwoColumnRight,TwoPageLeft,TwoPageRight]			
PageMode	name	1.0		FALSE	FALSE	FALSE	UseNone	[UseNone,UseOutlines,UseThumbs,FullScreen,UseOC,UseAttachments]			
Outlines	dictionary	1.0		FALSE	FALSE	FALSE				[Outline]	
Threads	array	1.1		FALSE	FALSE	FALSE				[ArrayOfThreads]	
OpenAction	array;dictionary	1.1		FALSE	FALSE	FALSE				[DestXYZ,Dest0,Dest1,Dest4];[ActionGoTo,ActionGoToR,ActionLaunch,ActionThread,ActionURI,ActionSound,ActionMovie,ActionHide,ActionNamed,ActionSubmitForm,ActionResetForm,ActionImportData,ActionECMAScript]	
URI	dictionary	1.1		FALSE	FALSE	FALSE				[URI]	
AcroForm	dictionary	1.2		FALSE	FALSE	FALSE				[InteractiveForm]	
StructTreeRoot	dictionary	1.3		FALSE	FALSE	FALSE				[StructTreeRoot]	
SpiderInfo	dictionary	1.3		FALSE	FALSE	FALSE				[WebCaptureInfo]	
NeedsRendering	boolean	1.0	2.0	FALSE	FALSE	FALSE	false				
