Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.0		FALSE	FALSE			[Annot]		
Subtype	name	1.0		TRUE	FALSE			[Text]		
Rect	rectangle	1.0		TRUE	FALSE					
Contents	string-text	1.0		FALSE	FALSE					
P	dictionary	1.3		FALSE	FALSE					[PageObject]
M	date;string-text	1.1		FALSE	FALSE					
F	integer	1.1		FALSE	FALSE		0			
AP	dictionary	1.2		FALSE	FALSE					[Appearance]
AS	name	1.2		FALSE	FALSE					
Border	array	1.0		FALSE	FALSE		[0 0 1]			[ArrayOf_4AnnotBorderCharacteristics]
C 	array	1.1		FALSE	FALSE					[ArrayOf_4NumbersColorAnnotation]
StructParent	integer	1.3		FALSE	FALSE					
T 	string-text	1.1		FALSE	FALSE					
Popup	dictionary	1.3		FALSE	FALSE					[AnnotPopup]
Open	boolean	1.0		FALSE	FALSE		FALSE			
Name	name	1.0		FALSE	FALSE		Note	[Comment,Key,Note,Help,NewParagraph,Paragraph,Insert]		
State	string-text	1.0		FALSE	FALSE					
