Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.3		FALSE	FALSE	FALSE		[Sig]			Table 255
Filter	name	1.3		TRUE	FALSE	FALSE		[Adobe.PPKLite,Entrust.PPKEF,CICI.SignIt,VeriSign.PPKVS]			
SubFilter	name	1.3		FALSE	FALSE	FALSE		[fn:SinceVersion(1.5,adbe.pkcs7.sha1)]			
Contents	string-byte	1.3		TRUE	FALSE	FALSE			[fn:Eval(fn:AlwaysUnencrypted() && fn:IsHexString())]		
Cert	array;string-byte	1.3		fn:IsRequired(@SubFilter==adbe.x509.rsa_sha1)	FALSE	FALSE			[fn:Ignore((@SubFilter==adbe.pkcs7.detached) || (@SubFilter==adbe.pkcs7.sha1) || (@SubFilter==ETSI.CAdES.detached) || (@SubFilter==ETSI.RFC3161))];[fn:Ignore((@SubFilter==adbe.pkcs7.detached) || (@SubFilter==adbe.pkcs7.sha1) || (@SubFilter==ETSI.CAdES.detached) || (@SubFilter==ETSI.RFC3161))]	[ArrayOfStringsByte];[]	
ByteRange	array	1.3		FALSE	FALSE	FALSE				[ArrayOfIntegersGeneral]	
Changes	array	1.3		FALSE	FALSE	FALSE			[fn:Ignore(@SubFilter==ETSI.RFC3161)]	[ArrayOf_3Integers]	
Name	string-text	1.3		FALSE	FALSE	FALSE			[fn:Ignore(@SubFilter==ETSI.RFC3161)]		
M	date	1.3		FALSE	FALSE	FALSE					
Location	string-text	1.3		FALSE	FALSE	FALSE					
Reason	string-text	1.3		FALSE	FALSE	FALSE					
ContactInfo	string-text	1.3		FALSE	FALSE	FALSE					
R	integer	1.3	2.0	FALSE	FALSE	FALSE			[fn:Ignore()]		
