Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.5		FALSE	FALSE	FALSE		[SV]			Table 237
Ff	bitmask	1.7		FALSE	FALSE	FALSE	0		[fn:Eval(fn:BeforeVersion(2.0,fn:BitsClear(8,32)) && fn:BitsClear(10,32))]		
Filter	name	1.5		FALSE	FALSE	FALSE					
SubFilter	array	1.5		FALSE	FALSE	FALSE				[ArrayOfSignatureSubFilterNames]	
DigestMethod	array	1.7		FALSE	FALSE	FALSE				[ArrayOfDigestMethod]	https://github.com/pdf-association/pdf-issues/issues/159
V	integer	1.5		FALSE	FALSE	FALSE		[0,1,2,3]			
Cert	dictionary	1.5		FALSE	FALSE	FALSE				[CertSeedValue]	
Reasons	array	1.5		FALSE	FALSE	FALSE				[ArrayOfStringsText]	
MDP	dictionary	1.6		FALSE	FALSE	FALSE				[MDPDict]	
TimeStamp	dictionary	1.6		FALSE	FALSE	FALSE				[TimeStampDict]	
LegalAttestation	array	1.6		FALSE	FALSE	FALSE				[ArrayOfStringsText]	
AddRevInfo	boolean	1.7		FALSE	FALSE	FALSE					
LockDocument	name	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE		[true,false,auto]			
AppearanceFilter	string-text	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE					
